time,total_participants,total_moving_time,total_run_distance,total_bike_distance,total_strength_time,total_intensity_time
1723434669,298,6696979,5507234,5965055,232260,3880524
1723431067,298,6657619,5454002,5957190,232260,3866752
1723427469,297,6604718,5450428,5957190,232260,3828804
1723423869,297,6576156,5428396,5941180,232260,3810152
1723420267,296,6546596,5405577,5888912,232260,3787290
1723416669,296,6483537,5387945,5831847,232260,3760785
1723413067,296,6441801,5365418,5808553,232260,3732442
1723409469,295,6416671,5365418,5804586,230539,3713635
1723405867,294,6313362,5285087,5662520,230539,3650494
1723402267,293,6294833,5270414,5652720,230539,3640899
1723398745,293,6224676,5214065,5644869,219809,3599176
1723398671,293,6224676,5214065,5644869,219809,3599176
1723395069,293,6148019,5164036,5427987,219809,3543711
1723391471,292,6088408,5152529,5394688,217899,3505647
1723387869,291,6046218,5107660,5298762,212904,3474178
1723384267,290,5970889,5013382,5298762,209824,3431339
1723380669,290,5953797,4980299,5291539,209824,3416563
1723377067,290,5927505,4934422,5239750,209824,3395793
1723373467,289,5906209,4919355,5239750,207032,3387753
1723369869,288,5873619,4840540,5239750,207032,3356678
1723366269,287,5864491,4822444,5239750,207032,3349838
1723362669,287,5863266,4822444,5239750,207032,3348998
1723359069,287,5861374,4822444,5239750,207032,3348098
1723355531,287,5847387,4792014,5239750,207032,3335675
1723355469,287,5847387,4792014,5239750,207032,3335675
1723351867,287,5828441,4761204,5239750,207032,3329628
1723348269,287,5815507,4744164,5239750,207032,3321094
1723344669,287,5797629,4734606,5207049,207032,3308942
1723341069,287,5771732,4734378,5207049,207032,3298656
1723337469,286,5743188,4734378,5186039,207032,3289292
1723333869,285,5729557,4711683,5186039,207032,3280892
1723330267,284,5697930,4639563,5186039,207032,3256262
1723326667,284,5669453,4636229,5165259,207032,3244634
1723323067,283,5596070,4590067,5064275,207032,3196360
1723319469,282,5501505,4527881,4981930,207032,3145235
1723315875,282,5461829,4495316,4927379,207032,3112652
1723312271,281,5415050,4415991,4892423,207032,3082230
1723312267,281,5415050,4415991,4892423,207032,3082230
1723308671,280,5357194,4376962,4774598,205161,3040120
1723305069,278,5289143,4243310,4746127,205161,2979203
1723301467,276,5130276,3926866,4677717,205161,2861179
1723297869,276,5062264,3773390,4655010,205161,2803672
1723294269,276,5037064,3748830,4645383,205161,2792053
1723290669,276,4997598,3733436,4495113,205161,2761051
1723287067,275,4967965,3690260,4495113,205161,2738338
1723283469,275,4960003,3690260,4495113,205161,2736838
1723279869,273,4916196,3686185,4319532,204584,2717914
1723276267,273,4916196,3686185,4319532,204584,2717914
1723272667,273,4916196,3686185,4319532,204584,2717914
1723269071,273,4889627,3676138,4278861,204584,2711213
1723269067,273,4889627,3676138,4278861,204584,2711213
1723265469,273,4872228,3648832,4278861,204584,2703690
1723261867,273,4870389,3648832,4278861,204584,2701950
1723258269,271,4813132,3598507,4278861,203343,2681550
1723254669,271,4797188,3593198,4278021,203343,2672438
1723251069,271,4763464,3580707,4278021,196009,2651703
1723247469,270,4714109,3504889,4278021,196009,2624596
1723243867,270,4699548,3499902,4278021,194318,2615409
1723240269,269,4644225,3463337,4278021,187726,2594035
1723236669,269,4577948,3431130,4091712,187726,2556111
1723233069,268,4531839,3336065,4091712,187726,2516877
1723229467,267,4508731,3325297,4091712,187726,2502381
1723225937,266,4360029,3285077,3885556,187726,2461651
1723225869,266,4360029,3285077,3885556,187726,2461651
1723222267,261,4222612,3092701,3876921,173115,2371955
1723218667,258,4113988,2983092,3874295,172832,2316322
1723215071,255,3980807,2738620,3870206,154538,2199327
1723211469,254,3934624,2705721,3833085,154538,2172564
1723207867,253,3872110,2689195,3833085,150738,2132546
1723204267,253,3848660,2661121,3828008,150738,2119658
1723200667,253,3824807,2654416,3828008,150738,2105698
1723197067,253,3802491,2603953,3828008,150738,2093216
1723193469,253,3793841,2603953,3819513,146828,2093036
1723189867,253,3792223,2603953,3819513,146828,2091418
1723186267,253,3787446,2603953,3819513,146226,2087010
1723182733,253,3779326,2598939,3819513,143230,2080502
1723182669,253,3779326,2598939,3819513,143230,2080502
1723179067,253,3771025,2589106,3819513,143230,2076870
1723175467,253,3765076,2586991,3819513,143230,2074409
1723171867,251,3714790,2565953,3819513,143230,2045822
1723168267,247,3580378,2489489,3686473,143230,1990013
1723164669,246,3513614,2470491,3579987,139615,1946848
1723161067,245,3480483,2443137,3561917,139615,1929431
1723157469,245,3464226,2443137,3561917,138682,1919999
1723153867,244,3390173,2405829,3523715,136158,1895127
1723150267,243,3361245,2400764,3636173,136158,1890147
1723146669,242,3343911,2371181,3655307,134653,1873637
1723143067,240,3321125,2350778,3655307,134325,1855554
1723139539,238,3289893,2323711,3642063,131260,1841105
1723139469,238,3289893,2323711,3642063,131260,1841105
1723135869,237,3279198,2318298,3634500,131260,1834957
1723132269,236,3246466,2309285,3603412,128414,1815650
1723128669,235,3218476,2293892,3603412,124888,1806374
1723125067,234,3193555,2288851,3603412,121466,1794124
1723121469,232,3149516,2235549,3603412,117503,1762717
1723117869,231,3090202,2190521,3583244,110254,1721977
1723114269,230,3048497,2190521,3583244,109657,1719099
1723110669,228,3025060,2156966,3583244,109657,1703367
1723107069,228,3016364,2156966,3583244,109657,1694329
1723103469,228,3016364,2156966,3583244,109657,1694329
1723099869,228,2999882,2154822,3583244,109657,1689320
1723096339,228,2989008,2142715,3583244,109657,1681050
1723096271,228,2989008,2142715,3583244,109657,1681050
1723092669,228,2986759,2142715,3583244,109657,1678836
1723089069,225,2893300,2110821,3578291,109657,1637356
1723085469,225,2867878,2089626,3567321,109657,1624766
1723081869,224,2841039,2084627,3478761,109657,1611279
1723078267,221,2781462,2031309,3406338,109657,1570200
1723074669,220,2745770,1983637,3392477,109657,1541200
1723071069,220,2718762,1978598,3360213,107813,1521602
1723067469,215,2669549,1902392,3344164,107813,1485362
1723063869,214,2628680,1881927,3281691,107813,1458669
1723060269,214,2583685,1856946,3269026,107514,1437956
1723056669,214,2555911,1827882,3211162,101233,1415184
1723053143,212,2495516,1827882,3125150,101233,1380437
1723053071,212,2495516,1827882,3125150,101233,1380437
1723049469,210,2450664,1816770,3115736,101233,1363670
1723045869,209,2415342,1809721,3074064,97677,1348804
1723042269,209,2393763,1793825,3074064,97677,1336932
1723038669,206,2322700,1694729,3074064,97677,1289182
1723035067,204,2295552,1680838,3074064,95028,1275646
1723031471,201,2166415,1639579,2946477,95028,1243770
1723027867,199,2117773,1612247,2946477,95028,1205875
1723024267,199,2110775,1602976,2946477,95028,1201146
1723020669,199,2110775,1602976,2946477,95028,1200666
1723017069,199,2096730,1602976,2946477,91544,1193964
1723013467,198,2089682,1595888,2946477,89134,1188206
1723009941,198,2081802,1595888,2946477,89134,1188026
1723009869,198,2081802,1595888,2946477,89134,1188026
1723006269,198,2073148,1577781,2946477,85736,1180886
1723002669,196,2021653,1567744,2799075,85736,1149751
1722999069,193,1992781,1548557,2799075,85736,1143031
1722995469,189,1923670,1493952,2709789,82037,1097166
1722991869,185,1836971,1425869,2512955,82037,1046711
1722988267,183,1797916,1387259,2482346,82037,1021836
1722984667,180,1743903,1367918,2460854,82037,993013
1722981069,179,2349032,1351814,2415488,80155,1026329
1722977469,176,1659117,1334450,2401782,80155,952279
1722973869,173,1584250,1253378,2395180,77483,900679
1722970269,171,1487961,1237066,2374089,77483,862442
1722966671,169,1465609,1228058,2322202,69251,847144
1722966667,169,1465609,1228058,2322202,69251,847144
1722966151,169,1465609,1228058,2322202,69251,847144
1722963069,167,1449676,1210453,2306460,67990,833197
1722959469,164,1426809,1164374,2281403,67062,811914
1722956195,161,1373900,1125892,2281403,67062,793682
1722955987,161,1369760,1125892,2281403,67062,789662
1722952267,158,1305786,1066964,2222176,52040,760905
1722948667,153,405984,925856,2222176,49049,745526
1722945067,146,353059,806012,2206941,49049,679262
1722941469,142,339789,770538,2206941,49049,663367
1722937869,138,320259,744118,2206941,49049,631243
1722934269,136,310057,725365,2206941,49049,624117
1722930669,135,307449,715156,2206941,49049,613521
1722927069,133,306087,685041,2206941,48453,589654
1722923535,131,303549,674829,2204987,48453,572947
1722923471,131,303549,674829,2204987,48453,572947
1722919869,129,300642,662329,2204326,45546,572887
1722916269,122,295121,645322,2052116,45546,527543
1722912669,117,295121,641043,2052116,45546,515606
1722909067,107,248672,482165,2017301,41256,448560
1722905469,101,211053,413069,1799261,31002,360719
1722901867,94,194205,376678,1795281,28331,336374
1722898269,89,192165,345411,1795281,28331,321536
1722894669,84,164857,336445,921254,28331,302477
1722891069,76,146067,326926,33651,24644,250077
1722887467,65,128259,274080,20789,22157,204530
1722883869,58,116201,263611,20789,24644,186655
1722880333,55,101360,260668,20789,10271,179252
1722880269,55,101360,260668,20789,10271,179252
1722876667,51,96757,244533,20789,10271,156848
1722873069,45,91369,224823,20711,7784,145406
1722869467,39,86684,199524,20711,7784,134545
1722865867,33,76117,189450,5643,3444,117889
1722862269,27,72825,180602,5643,3444,98788
1722858667,20,27876,48697,5643,3444,42963
1722855069,15,11024,32941,5643,3444,23824
1722851469,13,11024,32941,5643,3444,22924
1722847867,12,10015,29792,5643,3444,22924
1722844267,11,7521,29792,5643,950,21563
1722840667,8,6862,29792,5643,950,16487
1722837071,6,5912,23921,5643,0,13826
1722837067,6,5912,23921,5643,0,13826
1722833467,3,2866,14751,5643,0,6437
